startdate,enddate,status,progress,durationinseconds,finished,recordeddate,responseid,externalreference,distributionchannel,userlanguage,pol_feeling_1,pol_feeling_2,pol_feeling_3,rep_pov,dem_pov,vote_registr,vote1,vote2,vote3_1,follow_politics,follow_trump,news_source_3_1,news_source_3_2,news_source_3_3,news_source_3_4,news_source_3_10,news_source_3_5,news_source_3_6,news_source_3_11,read_news,q106_firstclick,q106_lastclick,q106_pagesubmit,q106_clickcount,news_knowledge_5,news_knowledge_6,news_knowledge_7,news_knowledge_8,news_knowledge_9,news_knowledge_10,news_knowledge_11,news_knowledge_12,news_knowledge_13,news_knowledge_14,news_knowledge_15,news_knowledge_16,news_knowledge_17,news_knowledge_18,news_knowledge_19,attitude_trade_1,attitude_race_1,attitude_metoo_1,attitude_kavanaugh_1,attitude_immigration_1,attitude_mueller_1,attitude_gun_1,attitude_media_1,attitude_trump_1,swb_happiness,swb_relhappiness,swb_swl1,swb_swl2,swb_swl3,swb_lnlns1,swb_lnlns2,swb_lnlns3,swb_eurhappsvy_4,swb_eurhappsvy_5,swb_eurhappsvy_6,swb_eurhappsvy_7,leisure_activities1,leisure_activities3_1,leisure_activities3_2,leisure_activities3_3,leisure_activities3_4,leisure_activities3_5,fb_minutes,fb_soclife_1,fb_goodbad_1,fb_society_1,fb_happy_1,fb_habit_1,fb_betterfollownews_1,fb_morefakenews_1,fb_polarize_1,deact_24h_goodbad_1,deact_4wk_goodbad_1,deactiv_yesno,wta3,wta_understanding1,wta_understanding2,fb_use_plan,agenda,followup,id,second_4weeks_num2,first_question_counts,accept_second_4weeks,second_4weeks_num1,wta1,wta2,lowqual,first_4weeks_num,t,friends_met_number,rep_angry_length,dem_angry_length,fb_posimp_length,fb_posimp_log,fb_negimp_length,fb_negimp_log
2018-11-08 00:01:49,2018-11-08 00:11:59,IP Address,100,610,True,2018-11-08 00:12:00,R_2eXxGiiNb11bsa3,,email,EN,0,0,0,Never,Never,None,No,Other/don't know,,Not at all closely,Not at all closely,Same,Same,Same,Same,Same,A lot less,A lot less,Same,15,4.518,48.502,49.185,43,Unsure,Unsure,True,True,Unsure,True,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,3,7,7,0,7,0,8,10,0,5,5,Slightly agree,Slightly agree,Neither agree nor disagree,Often,Often,Often,3.,4. All or almost all of the time.,4. All or almost all of the time.,2.,"Get together with friends,Spend time with your kids",A lot more,A lot more,Same,Same,Same,0,6,5,4,5,10,7,10,10,,10,Yes,70,Reactivate my Facebook account in 24 hours. I will continue in the study and receive $15 upon completion.,"Keep my Facebook account deactivated for the next 4 weeks.  If I do, I will receive the offered amount as well as $15 upon completion of the study.",...neither increase nor decrease the amount of time I spend on Facebook,"Yes, I think they wanted to show that Facebook is bad for people.",Yes,132,0,1,0,0,40,50,0,102,1,0.6931472,4.0,4.0,41.0,3.7376697,35.0,3.583519
2018-11-08 00:01:40,2018-11-08 00:12:31,IP Address,100,650,True,2018-11-08 00:12:32,R_0cW9oLORttyOG09,,email,EN,81,40,26,Never,Never,Texas,Yes,Democratic candidate,35,Somewhat closely,Somewhat closely,Same,A little less,Same,Same,Same,A lot less,A little less,A little less,60,6.538,34.695,35.669,45,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,5,5,5,2,6,5,8,5,6,6,5,Neither agree nor disagree,Neither agree nor disagree,Agree,Some of the time,Often,Often,2.,3.,3.,2.,"Get together with friends,Go to a shopping mall,Spend time with your parents,Spend time with your kids",A lot less,A lot less,Same,Same,A little more,0,5,3,6,6,9,9,8,10,,8,Yes,200,Reactivate my Facebook account in 24 hours. I will continue in the study and receive $15 upon completion.,"Keep my Facebook account deactivated for the next 4 weeks.  If I do, I will receive the offered amount as well as $15 upon completion of the study.",...decrease the amount of time I spend on Facebook by 50% or more,"Yes, I think they wanted to show that Facebook is bad for people.",Yes,11630,0,0,0,0,30,150,0,102,1,1.609438,21.0,4.0,34.0,3.5553482,30.0,3.4339871
2018-11-08 00:01:49,2018-11-08 00:14:03,IP Address,100,733,True,2018-11-08 00:14:03,R_2eUmUla3glF2pOW,,email,EN,80,0,0,Never,Never,New York,Yes,Democratic candidate,0,Somewhat closely,Rather closely,Same,Same,Same,Same,Same,Same,Same,Same,30,8.734,66.623,67.406,17,Unsure,False,True,True,Unsure,False,True,Unsure,Unsure,Unsure,Unsure,Unsure,True,Unsure,False,6,8,5,0,9,4,10,6,0,4,4,Disagree,Neither agree nor disagree,Slightly agree,Some of the time,Some of the time,Hardly ever,2.,3.,3.,2.,Go out for dinner,A little more,A little more,A lot more,Same,A little less,60,7,6,6,4,8,7,6,6,6,,Yes,20,Reactivate my Facebook account in 24 hours. I will continue in the study and receive $15 upon completion.,"Keep my Facebook account deactivated for the next 4 weeks.  If I do, I will receive the offered amount as well as $15 upon completion of the study.",...decrease the amount of time I spend on Facebook by 1% to 50%,"No, I don't think they had a particular agenda.",No,2916,0,1,0,0,25,20,0,0,0,0.6931472,27.0,4.0,20.0,3.0445225,9.0,2.3025851
2018-11-08 00:01:33,2018-11-08 00:15:10,IP Address,100,816,True,2018-11-08 00:15:10,R_3lMnRQJMAHt9hZ1,,email,EN,73,20,25,Never,Two or three times,North Carolina,No,Democratic candidate,1,Rather closely,Rather closely,A little less,Same,A little more,A little more,A little more,Same,A lot more,A lot more,30,2.799,71.405,72.389,26,True,True,True,True,True,False,True,True,True,True,False,True,Unsure,Unsure,False,7,8,7,2,6,8,8,1,1,4,4,Strongly disagree,Disagree,Slightly agree,Often,Often,Often,3.,3.,3.,4. All or almost all of the time.,"Talk to friends on the phone,Interact with someone who voted the opposite way as you in the last presidential election",A little more,A little more,A lot more,A lot more,A little less,60,5,5,7,6,6,9,9,8,9,,Yes,20,Reactivate my Facebook account in 24 hours. I will continue in the study and receive $15 upon completion.,"Keep my Facebook account deactivated for the next 4 weeks.  If I do, I will receive the offered amount as well as $15 upon completion of the study.",...neither increase nor decrease the amount of time I spend on Facebook,"No, I don't think they had a particular agenda.",Yes,563,0,1,0,0,30,10,0,0,0,1.0986123,81.0,0.0,35.0,3.583519,48.0,3.8918202
2018-11-08 00:05:41,2018-11-08 00:15:43,IP Address,100,601,True,2018-11-08 00:15:43,R_sImRUimwO11QRUJ,,email,EN,51,0,0,Two or three times,Two or three times,California,Yes,Democratic candidate,0,Somewhat closely,Not at all closely,Same,Same,Same,Same,Same,A lot less,A little more,A little more,5,3.323,52.753,53.515,15,Unsure,True,True,True,Unsure,Unsure,True,Unsure,Unsure,Unsure,Unsure,Unsure,True,Unsure,True,3,10,2,0,6,1,10,8,0,2,3,Disagree,Agree,Disagree,Some of the time,Often,Often,3.,2.,2.,3.,"Get together with friends,Spend time with your parents",A lot less,A little more,Same,Same,Same,0,2,2,2,2,6,9,8,10,,5,Yes,150,Reactivate my Facebook account in 24 hours. I will continue in the study and receive $15 upon completion.,"Keep my Facebook account deactivated for the next 4 weeks.  If I do, I will receive the offered amount as well as $15 upon completion of the study.",...decrease the amount of time I spend on Facebook by 1% to 50%,"Yes, I think they wanted to show that Facebook is bad for people.",Yes,516,0,1,0,0,100,300,0,102,1,0.6931472,4.0,28.0,45.0,3.8286414,33.0,3.5263605
2018-11-08 00:01:58,2018-11-08 00:17:14,IP Address,100,915,True,2018-11-08 00:17:14,R_2Sxeg5qqTslmNMN,,email,EN,50,52,0,Once,Once,Washington,Yes,Democratic candidate,35,Not at all closely,Not at all closely,A lot less,A lot less,A little less,A little less,A lot less,A lot more,Same,A little less,60,6.553,113.242,114.076,61,True,True,Unsure,True,False,True,False,False,True,False,False,True,True,False,False,5,8,10,0,8,2,10,10,0,7 (a very happy person),7 (more happy),Agree,Agree,Agree,Some of the time,Hardly ever,Hardly ever,1. None or almost none of the times,1. None or almost none of the times,3.,3.,"Go out for dinner,Go to the cinema,Talk to friends on the phone,Interact with someone who voted the opposite way as you in the last presidential election,Go to a party,Get together with friends,Go to a shopping mall",Same,Same,Same,Same,Same,100,7,4,6,4,7,6,3,5,5,,Yes,150,Reactivate my Facebook account in 24 hours. I will continue in the study and receive $15 upon completion.,"Keep my Facebook account deactivated for the next 4 weeks.  If I do, I will receive the offered amount as well as $15 upon completion of the study.",...neither increase nor decrease the amount of time I spend on Facebook,"No, I don't think they had a particular agenda.",Yes,9849,0,1,0,0,150,150,0,0,0,0.6931472,16.0,16.0,10.0,2.3978953,16.0,2.8332133
2018-11-08 00:01:46,2018-11-08 00:17:53,IP Address,100,966,True,2018-11-08 00:17:54,R_1etlxeGDbj5Ff5Y,,email,EN,100,9,0,Once,Two or three times,North Carolina,Yes,Democratic candidate,0,Somewhat closely,Not at all closely,A lot more,A lot more,A lot more,A lot more,A lot more,A lot less,A lot less,A lot more,30,7.677,84.331,84.364,53,Unsure,Unsure,True,True,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,True,Unsure,Unsure,Unsure,8,10,7,3,10,2,10,10,0,4,3,Disagree,Disagree,Slightly disagree,Some of the time,Some of the time,Some of the time,4. All or almost all of the time.,4. All or almost all of the time.,3.,2.,"Go out for dinner,Interact with someone who voted the opposite way as you in the last presidential election,Get together with friends,Spend time with your parents,Spend time with your kids",A lot less,Same,A lot more,A lot more,Same,0,5,6,6,9,3,10,3,10,,10,Yes,102,Reactivate my Facebook account in 24 hours. I will continue in the study and receive $15 upon completion.,"Keep my Facebook account deactivated for the next 4 weeks.  If I do, I will receive the offered amount as well as $15 upon completion of the study.",...decrease the amount of time I spend on Facebook by 50% or more,I am not sure.,No,58,0,0,0,0,15,115,0,102,1,0.6931472,4.0,4.0,32.0,3.4965076,14.0,2.7080503
2018-11-08 00:01:49,2018-11-08 00:18:02,IP Address,100,972,True,2018-11-08 00:18:03,R_21p6D6HR5Vf77GU,,email,EN,100,0,0,Never,Four times or more,Wisconsin,Yes,Democratic candidate,0,Very closely,Rather closely,Same,Same,A little more,Same,Same,A lot less,A lot more,A little more,120,1.539,125.972,126.537,59,True,True,True,Unsure,Unsure,Unsure,True,False,Unsure,Unsure,False,Unsure,Unsure,Unsure,False,10,10,5,0,10,10,10,5,0,5,3,Slightly agree,Slightly agree,Slightly agree,Often,Some of the time,Some of the time,3.,4. All or almost all of the time.,3.,2.,"Go out for dinner,Go to the cinema,Talk to friends on the phone,Get together with friends,Go to a shopping mall,Spend time with your parents",A lot less,A little more,A lot more,A lot more,Same,0,3,4,4,2,8,0,10,10,,10,Yes,150,Reactivate my Facebook account in 24 hours. I will continue in the study and receive $15 upon completion.,"Keep my Facebook account deactivated for the next 4 weeks.  If I do, I will receive the offered amount as well as $15 upon completion of the study.",...decrease the amount of time I spend on Facebook by 1% to 50%,"No, I don't think they had a particular agenda.",No,15524,0,0,0,0,100,150,0,102,1,0.6931472,82.0,0.0,22.0,3.1354942,81.0,4.406719
2018-11-08 00:01:45,2018-11-08 00:18:08,IP Address,100,983,True,2018-11-08 00:18:09,R_1JVhegsXdmEO1K2,,email,EN,64,47,3,Once,Two or three times,South Carolina,Yes,Democratic candidate,16,Somewhat closely,Somewhat closely,A little less,A little more,A little more,A little less,A little less,A little less,A little less,Same,40,10.539,101.048,102.627,50,Unsure,True,True,True,Unsure,True,True,Unsure,Unsure,Unsure,True,True,True,Unsure,True,5,8,6,4,5,6,8,6,0,4,3,Slightly agree,Slightly agree,Slightly agree,Often,Often,Often,3.,3.,2.,3.,"Go out for dinner,Interact with someone from another country,Spend time with your parents,Spend time with your kids",A little more,Same,A lot more,A little more,A little less,30,2,2,4,1,7,3,7,8,9,,Yes,50,Reactivate my Facebook account in 24 hours. I will continue in the study and receive $15 upon completion.,"Keep my Facebook account deactivated for the next 4 weeks.  If I do, I will receive the offered amount as well as $15 upon completion of the study.",...stop using Facebook entirely,"No, I don't think they had a particular agenda.",No,50,0,0,0,0,200,200,0,0,0,0.6931472,124.0,85.0,43.0,3.7841897,66.0,4.204693
2018-11-08 00:01:56,2018-11-08 00:18:13,IP Address,100,976,True,2018-11-08 00:18:13,R_2tuusTWI6eSXcf0,,email,EN,91,0,0,Two or three times,Once,California,Yes,Democratic candidate,0,Rather closely,Somewhat closely,Same,A little less,Same,A little more,A little more,A little less,A little less,A little less,20,4.856,87.734,94.276,15,True,True,True,True,True,False,True,False,False,Unsure,Unsure,True,Unsure,False,False,6,10,0,0,10,10,10,4,0,5,5,Slightly disagree,Slightly disagree,Neither agree nor disagree,Hardly ever,Hardly ever,Hardly ever,1. None or almost none of the times,2.,2.,2.,"Talk to friends on the phone,Interact with someone from another country,Go to a party,Get together with friends",A little less,A little more,A little less,Same,Same,30,6,5,5,4,7,5,8,5,5,,Yes,150,Reactivate my Facebook account in 24 hours. I will continue in the study and receive $15 upon completion.,"Keep my Facebook account deactivated for the next 4 weeks.  If I do, I will receive the offered amount as well as $15 upon completion of the study.",...decrease the amount of time I spend on Facebook by 1% to 50%,I am not sure.,Yes,17184,0,1,0,0,150,100,0,102,0,2.3025851,197.0,0.0,20.0,3.0445225,13.0,2.6390574
