id,wta_change_code1,wta_change_code2,wta_change_code3,startdate,fbhrs_iphone_success,battery_days,fbhrs_battery,fbhrs_nonbattery,fbhrs_noapp,autom_reac,apps_less_use
7,,,,03/12/2018 08:03,Yes,Last 10 days,1 hour 7 minutes ,,,Yes,ANONYMIZED
12,,,,03/12/2018 08:12,,,,10.0,,,ANONYMIZED
13,,,,03/12/2018 11:38,,,,3.0,,Yes,ANONYMIZED
14,Strategic BDM,,,03/12/2018 12:12,,,,10.0,,Yes,ANONYMIZED
16,Other,,,03/12/2018 12:21,,,,21.0,,No,ANONYMIZED
25,Other,,,03/12/2018 16:57,,,,7.0,,,ANONYMIZED
27,Convex cost,,,03/12/2018 20:42,Yes,Last 10 days,10 hrs 36 min,,,,ANONYMIZED
28,Other,,,03/12/2018 18:29,Yes,Last day,1 hour and 52 minutes ,,,No,ANONYMIZED
30,,,,03/12/2018 10:02,,,,1.0,,Yes,ANONYMIZED
34,,,,03/12/2018 08:53,,,,,13.0,Yes,ANONYMIZED
39,,,,03/12/2018 13:40,Yes,Last 7 days,1.1,,,No,ANONYMIZED
41,Other,,,03/12/2018 08:15,,,,,10.0,,ANONYMIZED
45,,,,03/12/2018 15:26,,,,10.0,,Yes,ANONYMIZED
46,Time shock,,,03/12/2018 14:11,,,,,7.0,No,ANONYMIZED
47,Time shock,,,03/12/2018 07:56,Yes,Last 10 days,3 minutes,,,No,ANONYMIZED
48,Strategic BDM,,,03/12/2018 07:52,,,,,1.0,No,ANONYMIZED
49,,,,04/12/2018 20:05,,,,15.0,,Yes,ANONYMIZED
50,,,,03/12/2018 07:53,,,,,10.0,No,ANONYMIZED
53,Strategic BDM,,,06/12/2018 10:42,Yes,Last 7 days,"0 hrs , 0 mins",,,No,ANONYMIZED
57,Other,,,03/12/2018 07:54,,,,,56.0,No,ANONYMIZED
58,Other,,,03/12/2018 09:37,Yes,Last 7 days,8.5,,,,ANONYMIZED
60,,,,03/12/2018 08:42,,,,,1.0,No,ANONYMIZED
66,,,,04/12/2018 15:49,,,,7.0,,Yes,ANONYMIZED
67,,,,03/12/2018 13:51,,,,5.0,,No,ANONYMIZED
69,,,,05/12/2018 07:15,,,,,6.0,No,ANONYMIZED
70,,,,03/12/2018 08:00,,,,,5.0,No,ANONYMIZED
71,Time shock,,,03/12/2018 07:56,Yes,Last 10 days,7 hrs and 5 min,,,Yes,ANONYMIZED
72,Strategic BDM,,,03/12/2018 10:08,Yes,Last 7 days,2 hrs and 28 min,,,No,ANONYMIZED
74,,,,04/12/2018 16:35,Yes,Last 5 days,16.4hours,,,No,ANONYMIZED
76,Other,,,03/12/2018 14:33,,,,12.0,,No,ANONYMIZED
80,,,,03/12/2018 08:02,,,,4.0,,Yes,ANONYMIZED
84,Convex cost,Misunderst. 4vs8 wks,,03/12/2018 08:13,Yes,Last 10 days,1 hour 44 minutes ,,,,ANONYMIZED
87,,,,03/12/2018 12:02,,,,3.0,,No,ANONYMIZED
88,Other,,,03/12/2018 22:00,,,,,2.0,No,ANONYMIZED
89,Other,,,03/12/2018 08:33,,,,35.0,,No,ANONYMIZED
93,,,,16/12/2018 00:32,Yes,Last 10 days,19 hours and 31 minutes ,,,No,ANONYMIZED
94,Strategic BDM,,,04/12/2018 17:23,,,,,4.0,,ANONYMIZED
97,Other,,,03/12/2018 08:06,,,,2.0,,No,ANONYMIZED
104,,,,03/12/2018 07:52,,,,30.0,,Yes,ANONYMIZED
107,,,,03/12/2018 09:37,,,,,12.0,No,ANONYMIZED
108,Other,,,05/12/2018 11:46,,,,,5.0,,ANONYMIZED
109,,,,03/12/2018 08:01,,,,,5.0,Yes,ANONYMIZED
110,,,,03/12/2018 09:49,Yes,Last 10 days,9 minutes ,,,No,ANONYMIZED
111,,,,03/12/2018 13:12,,,,,1.0,No,ANONYMIZED
112,,,,03/12/2018 08:04,No,,,1.0,,No,ANONYMIZED
116,,,,04/12/2018 14:51,Yes,Last 7 days,6 hours,,,No,ANONYMIZED
117,Convex cost,Misunderst. 4vs8 wks,,03/12/2018 17:14,,,,3.0,,,ANONYMIZED
119,Other,,,03/12/2018 08:01,,,,1.0,,,ANONYMIZED
120,,,,03/12/2018 08:02,,,,,21.0,No,ANONYMIZED
121,Other,,,03/12/2018 10:03,Yes,Last 10 days,Hours and minutes ,,,,ANONYMIZED
125,,,,03/12/2018 15:27,,,,8.0,,Yes,ANONYMIZED
126,Strategic BDM,,,03/12/2018 13:40,Yes,Last 7 days,Hours and minutes,,,No,ANONYMIZED
129,,,,03/12/2018 08:05,Yes,Last 10 days,3hrs and 46 min,,,No,ANONYMIZED
130,,,,04/12/2018 15:10,Yes,Last 10 days,21 hours 39 minutes ,,,Yes,ANONYMIZED
131,Anchoring,,,05/12/2018 23:29,,,,1.0,,,ANONYMIZED
132,Other,,,03/12/2018 08:19,Yes,Last 10 days,12 hours 31 minutes,,,,ANONYMIZED
