ID,n_sms,mean_happy,mean_lonely
1,4,2.5,3.75
7,16,6.125,3.6
8,13,6.0,5.090909090909091
12,16,5.3125,4.833333333333333
13,17,8.117647058823529,3.3636363636363638
14,16,6.5,4.3076923076923075
16,19,10.0,3.076923076923077
20,5,6.0,10.0
23,14,8.642857142857142,2.0
25,13,8.615384615384615,1.1764705882352942
27,12,7.5,4.733333333333333
28,17,5.823529411764706,4.416666666666667
30,14,7.357142857142857,4.583333333333333
31,8,4.5,5.333333333333333
34,15,6.533333333333333,4.6923076923076925
35,7,6.285714285714286,4.0
38,0,,
39,10,7.0,4.545454545454546
41,9,5.888888888888889,4.529411764705882
45,12,7.25,1.5
46,15,5.4,6.285714285714286
47,19,6.157894736842105,4.777777777777778
48,14,6.857142857142857,4.0625
49,0,,
50,0,,
53,11,8.272727272727273,4.266666666666667
56,12,5.083333333333333,7.0
57,15,6.133333333333334,2.2857142857142856
58,15,5.533333333333333,6.230769230769231
60,11,6.2727272727272725,2.125
66,17,6.9411764705882355,3.5
67,10,6.1,2.75
69,14,8.071428571428571,2.0
70,13,6.846153846153846,4.8
71,21,4.904761904761905,5.0
72,16,6.0625,3.1
74,16,5.625,5.538461538461538
76,12,5.5,2.7058823529411766
80,12,4.583333333333333,5.214285714285714
84,9,5.666666666666667,4.722222222222222
86,7,6.714285714285714,5.666666666666667
87,17,4.823529411764706,3.4444444444444446
88,11,7.363636363636363,3.0
89,14,5.5,5.2631578947368425
93,14,6.428571428571429,4.142857142857143
94,14,6.0,3.909090909090909
95,1,8.0,7.0
97,0,,
102,0,,
104,13,5.461538461538462,3.4
107,11,7.363636363636363,3.7142857142857144
108,16,8.75,3.0
109,22,9.409090909090908,2.8333333333333335
110,11,8.545454545454545,1.1666666666666667
111,14,7.5,2.7142857142857144
112,13,7.153846153846154,3.6666666666666665
116,11,6.636363636363637,4.055555555555555
117,0,,
119,14,5.642857142857143,7.166666666666667
120,14,5.428571428571429,6.0
121,14,9.714285714285714,3.1666666666666665
125,14,6.571428571428571,5.571428571428571
126,12,8.166666666666666,3.6923076923076925
129,8,7.25,2.7083333333333335
130,11,5.454545454545454,3.823529411764706
131,14,6.571428571428571,4.0
132,11,7.636363636363637,4.777777777777778
133,13,8.23076923076923,4.538461538461538
134,15,5.866666666666666,4.8
136,18,5.722222222222222,3.9
138,14,8.571428571428571,2.0714285714285716
140,6,7.333333333333333,3.0
141,4,6.5,8.0
142,6,7.5,5.5
143,13,4.923076923076923,6.555555555555555
144,12,6.083333333333333,4.533333333333333
146,16,4.625,3.75
147,18,5.888888888888889,4.333333333333333
148,16,8.4375,3.933333333333333
150,17,4.823529411764706,5.636363636363637
151,6,7.0,5.25
152,11,5.181818181818182,5.153846153846154
155,11,7.2727272727272725,4.818181818181818
156,12,6.416666666666667,2.588235294117647
161,5,5.8,6.153846153846154
162,17,5.647058823529412,4.705882352941177
163,13,4.384615384615385,5.733333333333333
167,18,5.222222222222222,6.636363636363637
168,13,7.923076923076923,3.5833333333333335
169,10,7.6,5.0
170,11,6.818181818181818,6.0
171,10,4.6,4.583333333333333
173,14,5.714285714285714,4.384615384615385
174,11,6.090909090909091,6.111111111111111
177,17,6.411764705882353,3.7
179,11,6.636363636363637,4.4
180,9,6.666666666666667,1.9285714285714286
182,7,8.571428571428571,2.6956521739130435
189,13,5.3076923076923075,4.533333333333333
190,9,5.333333333333333,4.611111111111111
191,10,5.0,4.285714285714286
193,12,8.083333333333334,3.933333333333333
195,13,6.3076923076923075,3.0833333333333335
196,1,2.0,7.0
202,13,7.538461538461538,3.3846153846153846
206,14,6.571428571428571,2.4285714285714284
207,11,7.636363636363637,3.642857142857143
209,15,8.733333333333333,3.727272727272727
213,10,7.2,4.461538461538462
217,14,7.714285714285714,4.411764705882353
218,19,5.684210526315789,5.583333333333333
219,10,7.3,4.0
220,16,6.625,4.133333333333334
222,15,6.0,5.733333333333333
225,19,4.368421052631579,4.583333333333333
227,9,8.444444444444445,2.357142857142857
228,11,8.0,3.9
229,11,5.363636363636363,3.2
231,11,8.090909090909092,4.181818181818182
232,1,6.0,
233,15,6.4,5.1
234,13,6.384615384615385,3.7
236,12,7.25,4.666666666666667
237,13,6.923076923076923,3.375
240,12,8.0,3.6666666666666665
243,11,5.818181818181818,3.0
244,0,,
245,11,8.818181818181818,2.125
246,16,5.375,5.7272727272727275
248,18,6.055555555555555,4.5
250,20,6.2,4.0
251,14,7.357142857142857,5.25
252,14,5.428571428571429,5.583333333333333
253,17,6.882352941176471,5.066666666666666
254,10,4.9,4.588235294117647
256,6,8.833333333333334,6.428571428571429
257,12,7.75,3.6363636363636362
264,7,6.142857142857143,5.666666666666667
265,15,7.333333333333333,2.625
266,10,3.8,2.6
267,15,9.0,3.7
269,12,3.75,4.928571428571429
270,14,3.9285714285714284,6.153846153846154
271,18,7.666666666666667,4.666666666666667
272,13,7.153846153846154,3.0
277,14,6.5,2.357142857142857
278,12,6.666666666666667,3.769230769230769
279,5,8.0,4.434782608695652
281,15,5.266666666666667,3.230769230769231
282,18,5.888888888888889,4.222222222222222
290,9,5.888888888888889,5.083333333333333
292,10,8.0,3.3636363636363638
295,17,7.764705882352941,2.6153846153846154
296,16,6.25,4.0625
297,9,6.0,3.95
299,12,4.75,4.666666666666667
300,15,6.466666666666667,5.6923076923076925
301,12,4.666666666666667,4.833333333333333
302,5,1.4,1.4285714285714286
306,10,8.2,4.470588235294118
309,6,7.833333333333333,3.5
312,5,7.8,5.5
313,16,7.375,3.3333333333333335
315,3,6.333333333333333,3.2
319,12,5.083333333333333,4.0
322,8,6.375,5.5
324,0,,
325,11,6.636363636363637,1.8461538461538463
326,13,8.307692307692308,4.266666666666667
328,11,5.7272727272727275,4.866666666666666
329,12,7.5,3.8
331,8,5.0,3.25
332,11,6.7272727272727275,3.1666666666666665
335,10,6.6,3.25
340,17,5.470588235294118,4.2727272727272725
342,11,7.363636363636363,3.4
343,12,6.166666666666667,3.727272727272727
345,12,7.333333333333333,4.5
348,12,5.166666666666667,3.5833333333333335
349,14,6.785714285714286,4.25
350,13,4.6923076923076925,7.357142857142857
352,10,8.3,2.5555555555555554
355,14,8.285714285714286,3.1538461538461537
357,13,5.538461538461538,6.214285714285714
359,10,7.1,3.75
367,14,5.0,4.111111111111111
368,14,7.357142857142857,4.2727272727272725
371,17,7.235294117647059,3.1666666666666665
380,19,7.2105263157894735,4.142857142857143
382,12,6.166666666666667,6.571428571428571
384,14,7.0,4.769230769230769
385,12,6.333333333333333,2.4615384615384617
386,4,4.25,7.625
387,12,5.25,5.1875
394,7,8.714285714285714,5.5
397,10,7.1,3.3333333333333335
399,17,4.588235294117647,4.0
400,12,5.5,5.615384615384615
401,8,6.375,5.222222222222222
402,13,5.615384615384615,4.875
403,14,6.071428571428571,3.8823529411764706
406,4,8.25,2.8125
407,15,5.933333333333334,5.6
411,9,8.666666666666666,3.5
413,3,10.0,8.333333333333334
415,2,4.5,5.0
416,15,6.666666666666667,4.0
417,7,8.714285714285714,4.375
418,7,7.0,4.333333333333333
421,16,6.0,2.6666666666666665
422,13,6.0,5.538461538461538
424,3,4.0,4.0
426,14,4.714285714285714,4.0
428,14,5.285714285714286,6.6923076923076925
430,13,7.153846153846154,8.0
431,16,9.375,2.4166666666666665
432,12,6.833333333333333,4.0
433,14,8.214285714285714,2.5294117647058822
434,15,6.4,3.2857142857142856
435,19,6.2631578947368425,4.625
437,12,5.083333333333333,4.6
440,10,7.6,6.642857142857143
442,15,5.466666666666667,5.666666666666667
445,13,4.846153846153846,5.818181818181818
446,12,6.0,2.5625
448,10,7.5,3.933333333333333
450,4,7.25,6.75
453,7,8.571428571428571,5.5
454,12,5.166666666666667,4.294117647058823
456,13,6.461538461538462,3.0
457,14,5.928571428571429,4.636363636363637
458,13,5.6923076923076925,3.7857142857142856
459,12,7.0,3.5625
460,17,2.411764705882353,6.916666666666667
461,4,5.75,5.0
464,5,6.2,5.0
465,11,6.636363636363637,5.25
467,9,8.222222222222221,1.0
468,13,5.923076923076923,3.2142857142857144
470,18,6.111111111111111,2.8461538461538463
471,14,5.428571428571429,1.8181818181818181
472,15,6.266666666666667,4.466666666666667
